City_ID,city,cloudiness,country,date,humidity,lat,lng,max_Temp,wind_Speed
0,ibra,0,OM,10/10/2019,58,22.69,58.55,26.31,1.772
1,souillac,0,FR,10/10/2019,93,45.6,-0.6,12.22,1
2,san patricio,0,PY,10/10/2019,57,-26.98,-56.83,22.42,2.995
3,shchebetovka,61,UA,10/10/2019,84,44.94,35.16,10.89,0.672
4,sangar,99,RU,10/10/2019,63,63.92,127.47,-5.09,2.654
5,semey,0,KZ,10/10/2019,35,50.41,80.25,13.88,4.665
6,albany,40,US,10/10/2019,50,42.65,-73.75,14,2.6
7,busselton,95,AU,10/10/2019,56,-33.64,115.35,20.56,4.37
8,kukuna,75,SL,10/10/2019,83,8.64,-12.57,26,4.1
9,the pas,90,CA,10/10/2019,44,53.82,-101.24,3,5.1
10,mantua,75,IT,10/10/2019,100,45.16,10.79,15.56,1
11,sistranda,75,NO,10/10/2019,93,63.73,8.83,5,3.1
12,port alfred,2,ZA,10/10/2019,83,-33.59,26.89,12.22,1.79
13,bluff,25,AU,10/10/2019,34,-23.58,149.07,27.32,1.362
14,bathsheba,40,BB,10/10/2019,74,13.22,-59.52,28,4.6
15,ushuaia,90,AR,10/10/2019,79,-54.81,-68.31,-3,9.8
16,honiara,20,SB,10/10/2019,79,-9.43,159.96,30,3.1
17,viedma,7,AR,10/10/2019,64,-40.81,-62.99,12.77,2.815
18,tucuman,0,PE,10/10/2019,56,-17.17,-70.89,10.24,0.943
19,faanui,100,PF,10/10/2019,76,-16.48,-151.75,24.81,7.535
20,tiksi,100,RU,10/10/2019,90,71.64,128.87,-7.55,1.65
21,hailey,5,US,10/10/2019,63,43.52,-114.32,-1,3.6
22,arraial do cabo,75,BR,10/10/2019,88,-22.97,-42.02,23,5.1
23,westport,40,US,10/10/2019,41,41.14,-73.36,16.67,9.8
24,vaini,75,IN,10/10/2019,100,15.34,74.49,22,0.769
25,codrington,90,AU,10/10/2019,82,-28.95,153.24,17,4.1
26,mezhdurechensk,0,RU,10/10/2019,44,53.69,88.07,4.36,1.445
27,nikolskoye,90,RU,10/10/2019,93,59.7,30.79,6.67,1.635
28,hilo,1,US,10/10/2019,74,19.71,-155.08,29,4.1
29,east london,0,ZA,10/10/2019,75,-33.02,27.91,15.37,6.479
30,yichang,96,CN,10/10/2019,81,30.77,111.32,17.18,0.77
31,nizhniy odes,98,RU,10/10/2019,96,63.64,54.86,0.94,3.77
32,mocuba,21,MZ,10/10/2019,79,-16.84,36.99,23.56,2.078
33,ribeira grande,15,PT,10/10/2019,86,38.52,-28.7,18.47,6.759
34,ixtapa,90,MX,10/10/2019,94,20.71,-105.21,26.67,2.6
35,mataura,100,NZ,10/10/2019,88,-46.19,168.86,7.78,4.92
36,port lincoln,0,AU,10/10/2019,64,-34.72,135.86,16.08,6.404
37,alta floresta,100,BR,10/10/2019,98,-9.87,-56.08,21.48,1.062
38,san cristobal,100,HN,10/10/2019,96,14.68,-86.92,19.13,0.739
39,hanna,71,CA,10/10/2019,64,51.64,-111.93,-4.44,1.79
40,dunedin,100,NZ,10/10/2019,97,-45.87,170.5,8.89,8.519
41,margate,40,AU,10/10/2019,62,-43.03,147.26,14.44,2.1
42,fuling,100,CN,10/10/2019,93,29.71,107.39,16.16,0.976
43,tuktoyaktuk,75,CA,10/10/2019,91,69.44,-133.03,0,1.5
44,mandalgovi,100,MN,10/10/2019,93,45.76,106.27,-2.24,5.593
45,aksu,100,KZ,10/10/2019,45,52.04,76.93,13.08,5.66
46,punta arenas,20,CL,10/10/2019,59,-53.16,-70.91,1,8.2
47,jamestown,0,AU,10/10/2019,25,-33.21,138.6,20.99,3.414
48,bredasdorp,100,ZA,10/10/2019,87,-34.53,20.04,11.11,1.297
49,gizo,20,IL,10/10/2019,83,31.8,34.94,22.78,1
50,atar,32,MR,10/10/2019,27,20.52,-13.05,27.16,4.886
51,tessalit,0,ML,10/10/2019,37,20.2,1.01,29.16,5.998
52,sitka,0,US,10/10/2019,64,37.17,-99.65,2.78,10.73
53,ngunguru,1,NZ,10/10/2019,79,-35.62,174.5,19.44,3.58
54,rikitea,100,PF,10/10/2019,71,-23.12,-134.97,20.3,3.621
55,gobabis,67,NA,10/10/2019,16,-22.45,18.97,20,1
56,yellowknife,20,CA,10/10/2019,84,62.45,-114.38,2.78,2.1
57,xuanhua,24,CN,10/10/2019,65,40.61,115.04,13.67,3.733
58,port augusta,0,AU,10/10/2019,45,-32.49,137.76,22.78,4.6
59,aksay,100,KZ,10/10/2019,49,51.17,53.01,7.38,5.303
60,georgetown,75,GY,10/10/2019,94,6.8,-58.16,25,3.1
61,high level,40,CA,10/10/2019,55,58.52,-117.13,3,2.1
62,hithadhoo,100,MV,10/10/2019,79,-0.6,73.08,27.82,5.662
63,khatanga,89,RU,10/10/2019,73,71.98,102.47,-8.24,3.686
64,kaitangata,100,NZ,10/10/2019,82,-46.28,169.85,7.22,11.18
65,caravelas,11,BR,10/10/2019,94,-17.73,-39.27,20.93,2.285
66,zaysan,0,KZ,10/10/2019,31,47.47,84.87,16.76,0.442
67,ningxiang,40,CN,10/10/2019,83,28.28,112.55,21,3
68,san ignacio,81,PE,10/10/2019,95,-5.15,-79,15.31,0.875
69,kiunga,100,PG,10/10/2019,76,-6.12,141.3,27.25,0.548
70,moose factory,1,CA,10/10/2019,54,51.26,-80.61,12,3.6
71,chokurdakh,100,RU,10/10/2019,93,70.62,147.9,-9.91,2.547
72,leshukonskoye,100,RU,10/10/2019,97,64.9,45.76,1.85,3.526
73,dingle,1,PH,10/10/2019,71,11,122.67,28.97,2.203
74,kailua,40,US,10/10/2019,74,21.39,-157.74,31,3.6
75,soyo,100,AO,10/10/2019,85,-6.13,12.37,24.57,2.678
76,thompson,75,CA,10/10/2019,79,55.74,-97.86,-4,1
77,new norfolk,40,AU,10/10/2019,62,-42.78,147.06,14.44,2.1
78,mount gambier,90,AU,10/10/2019,67,-37.83,140.78,14,5.1
79,narsaq,77,GL,10/10/2019,64,60.91,-46.05,2,1.5
80,longyearbyen,75,NO,10/10/2019,79,78.22,15.63,-3,1
81,bethel,75,US,10/10/2019,93,60.79,-161.76,5,4.6
82,hobart,40,AU,10/10/2019,62,-42.88,147.33,14.44,2.1
83,halifax,90,CA,10/10/2019,70,44.65,-63.58,10,3.6
84,castro,90,CL,10/10/2019,100,-42.48,-73.76,10,4.1
85,aswan,100,EG,10/10/2019,24,24.09,32.9,30.13,2.649
86,iqaluit,75,CA,10/10/2019,77,63.75,-68.52,3,5.1
87,mangaratiba,100,BR,10/10/2019,87,-22.96,-44.04,20.72,2.602
88,la ronge,5,CA,10/10/2019,47,55.1,-105.3,1,1.5
89,qaanaaq,100,GL,10/10/2019,62,77.48,-69.36,-4.08,2.362
90,kavieng,14,PG,10/10/2019,71,-2.57,150.8,29.73,5.859
91,bundaberg,90,AU,10/10/2019,64,-24.87,152.35,25,6.2
92,port elizabeth,1,US,10/10/2019,42,39.31,-74.98,18.33,3.1
93,oksfjord,78,NO,10/10/2019,86,70.24,22.35,2,3.6
94,puerto escondido,75,MX,10/10/2019,74,15.86,-97.07,28,1.5
95,saint-philippe,40,CA,10/10/2019,71,45.36,-73.48,14,4.6
96,bambous virieux,40,MU,10/10/2019,77,-20.34,57.76,22.78,5.1
97,coquimbo,100,CL,10/10/2019,87,-29.95,-71.34,12,2.1
98,fairbanks,90,US,10/10/2019,100,64.84,-147.72,3.33,1.5
99,upernavik,100,GL,10/10/2019,49,72.79,-56.15,-2.22,3.548
100,talnakh,93,RU,10/10/2019,62,69.49,88.39,-7.29,6.629
101,waipawa,100,NZ,10/10/2019,81,-39.94,176.59,15.56,4.92
102,yulara,79,AU,10/10/2019,6,-25.24,130.99,31,3.1
103,alofi,75,NU,10/10/2019,65,-19.06,-169.92,28,6.2
104,yaan,100,NG,10/10/2019,95,7.38,8.57,22.96,2.193
105,geraldton,75,CA,10/10/2019,87,49.72,-86.95,9,1
106,biak,80,ID,10/10/2019,78,-0.91,122.88,27.02,6.555
107,east millcreek,1,US,10/10/2019,59,40.7,-111.81,4,2.1
108,atuona,0,PF,10/10/2019,69,-9.8,-139.03,26.11,3.95
109,mahebourg,40,MU,10/10/2019,77,-20.41,57.7,22.78,5.1
110,lebu,75,ET,10/10/2019,87,8.96,38.73,12,1
111,chunskiy,0,RU,10/10/2019,40,56.08,99.63,-1.6,1.881
112,barrow,99,AR,10/10/2019,88,-38.31,-60.23,15.72,5.318
113,juneau,90,US,10/10/2019,81,58.3,-134.42,9,7.2
114,atambua,70,ID,10/10/2019,44,-9.11,124.89,30.37,1.832
115,ponta do sol,100,BR,10/10/2019,96,-20.63,-46,18.29,1.574
116,mawlaik,51,MM,10/10/2019,66,23.63,94.42,28.19,0.606
117,sorland,30,NO,10/10/2019,65,67.67,12.69,6.86,4.934
118,provideniya,40,RU,10/10/2019,64,64.42,-173.23,2,2
119,port macquarie,75,AU,10/10/2019,55,-31.43,152.91,20,5.1
120,presidencia roque saenz pena,0,AR,10/10/2019,51,-26.79,-60.44,24.77,3.238
121,nehe,0,CN,10/10/2019,26,48.48,124.88,5.46,6.516
122,shuyskoye,100,RU,10/10/2019,97,59.37,41.03,3.18,1.315
123,nanortalik,0,GL,10/10/2019,76,60.14,-45.24,3.96,1.018
124,dikson,100,RU,10/10/2019,91,73.51,80.55,-0.71,13.84
125,tautira,20,PF,10/10/2019,61,-17.73,-149.15,28,3.6
126,lasa,100,CY,10/10/2019,42,34.92,32.53,22,4.6
127,beringovskiy,50,RU,10/10/2019,69,63.05,179.32,0.82,1.555
128,kapaa,1,US,10/10/2019,74,22.08,-159.32,32,1.5
129,cape town,78,ZA,10/10/2019,87,-33.93,18.42,16.11,3.1
130,avarua,14,CK,10/10/2019,60,-21.21,-159.78,23,5.1
131,victoria,75,BN,10/10/2019,74,5.28,115.24,29,1.5
132,carnarvon,0,ZA,10/10/2019,38,-30.97,22.13,8.63,3.481
133,mahibadhoo,97,MV,10/10/2019,65,3.78,72.97,28.4,1.048
134,sao domingos do maranhao,42,BR,10/10/2019,43,-5.58,-44.39,27.3,1.952
135,saskylakh,98,RU,10/10/2019,93,71.97,114.09,-9.09,6.349
136,bodden town,40,KY,10/10/2019,79,19.28,-81.25,29,2.6
137,torbay,5,CA,10/10/2019,86,47.66,-52.73,6.11,1.5
138,mar del plata,0,AR,10/10/2019,77,-46.43,-67.52,6.87,1.04
139,gouyave,20,GD,10/10/2019,94,12.16,-61.73,25,4.1
140,hermanus,100,ZA,10/10/2019,88,-34.42,19.24,11.67,0.45
141,west melbourne,90,US,10/10/2019,88,28.07,-80.65,27,5.1
142,kamenka,100,MD,10/10/2019,91,48.03,28.7,9.44,2.849
143,japura,83,ID,10/10/2019,55,-0.42,102.29,31.2,1.668
144,ous,2,RU,10/10/2019,86,60.91,61.52,-0.65,2.673
145,biltine,75,TD,10/10/2019,56,14.53,20.93,27.55,0.869
146,oranjemund,0,ZA,10/10/2019,24,-28.55,16.43,15.43,2.013
147,jijiang,0,CN,10/10/2019,73,29.8,120.61,25,3
148,clyde river,90,CA,10/10/2019,80,70.47,-68.59,1,5.1
149,jinchang,99,CN,10/10/2019,33,38.52,102.19,13.21,0.619
150,ratnagiri,35,IN,10/10/2019,82,16.98,73.3,25.6,0.765
151,butaritari,58,KI,10/10/2019,60,3.07,172.79,29.22,2.861
152,lompoc,1,US,10/10/2019,72,34.64,-120.46,21,3.1
153,vila velha,20,BR,10/10/2019,74,-3.71,-38.6,27,5.1
154,pa sang,75,TH,10/10/2019,88,18.53,98.94,30,1.5
155,tezu,0,IN,10/10/2019,72,27.93,96.16,24.67,1.151
156,cidreira,0,BR,10/10/2019,86,-30.17,-50.22,20.37,8.076
157,mao,20,DO,10/10/2019,74,19.55,-71.08,27.22,2.6
158,kodiak,90,US,10/10/2019,87,39.95,-94.76,7,6.7
159,vanimo,8,PG,10/10/2019,70,-2.67,141.3,28.24,2.252
160,chaadayevka,100,RU,10/10/2019,99,53.14,45.91,8.33,6.028
161,pacific grove,1,US,10/10/2019,30,36.62,-121.92,23,3.1
162,felipe carrillo puerto,92,MX,10/10/2019,95,19.58,-88.05,24.46,1.022
163,bani,0,YE,10/10/2019,74,16.02,42.93,28.92,0.616
164,khalilabad,0,IR,10/10/2019,54,35.25,58.29,15,3.1
165,sao joao da barra,94,BR,10/10/2019,86,-21.64,-41.05,22.95,6.257
166,san antonio,90,CL,10/10/2019,93,-33.58,-71.61,13,2.1
167,taitung,20,TW,10/10/2019,61,22.76,121.15,28,1
168,hualmay,19,PE,10/10/2019,86,-11.1,-77.61,12.55,0.532
169,sao paulo de olivenca,53,BR,10/10/2019,99,-3.38,-68.87,22.13,1.08
170,bairnsdale,77,AU,10/10/2019,73,-37.83,147.63,16.11,3.58
171,grahamstown,28,ZA,10/10/2019,84,-33.31,26.53,12.22,1.79
172,vardo,1,US,10/10/2019,87,39.62,-77.74,16.11,3.881
173,roebourne,0,AU,10/10/2019,7,-20.77,117.15,40.59,3.643
174,oktyabrskoye,0,RU,10/10/2019,53,56.73,85.44,-1.67,5.379
175,hare bay,5,CA,10/10/2019,93,48.86,-53.99,5,2.6
176,tasiilaq,0,GL,10/10/2019,80,65.61,-37.64,1,3.1
177,usinsk,99,RU,10/10/2019,93,66,57.56,0.09,7.514
178,tual,78,ID,10/10/2019,76,-5.67,132.75,27.08,0.331
179,arinos,54,BR,10/10/2019,38,-15.92,-46.11,27.69,3.713
180,sarkand,98,KZ,10/10/2019,29,45.41,79.91,17.58,2.638
181,warren,1,US,10/10/2019,87,42.48,-83.03,17,2.6
182,parambu,24,BR,10/10/2019,60,-6.21,-40.7,24.84,4.659
183,kalmunai,100,LK,10/10/2019,79,7.42,81.82,27.3,4.782
184,hofn,100,IS,10/10/2019,90,64.25,-15.21,7.83,14.693
185,bandarbeyla,0,SO,10/10/2019,87,9.49,50.81,26.27,3.004
186,severo-kurilsk,51,RU,10/10/2019,54,50.68,156.12,12.8,2.12
187,tanda,0,IN,10/10/2019,49,31.67,75.63,24.83,2.008
188,labuhan,100,ID,10/10/2019,55,-2.54,115.51,32,1.68
189,buala,100,SB,10/10/2019,70,-8.15,159.59,29.3,3.521
190,pryvillya,100,UA,10/10/2019,78,49.02,38.3,12.34,3.54
191,whitehorse,90,CA,10/10/2019,99,60.72,-135.06,6,7.2
192,tura,90,RU,10/10/2019,68,64.27,100.22,-7.79,0.916
193,plainview,1,US,10/10/2019,48,34.18,-101.71,13,7.7
194,katsina,100,NG,10/10/2019,83,12.99,7.6,23.23,2.286
195,saint-joseph,0,FR,10/10/2019,87,43.56,6.97,16,1.5
196,xichang,97,CN,10/10/2019,93,27.88,102.25,10.23,0.804
197,luderitz,0,NA,10/10/2019,82,-26.65,15.16,13,3.1
198,broome,100,GB,10/10/2019,82,52.47,1.45,16,5.1
199,cody,1,US,10/10/2019,72,44.53,-109.06,-2.78,3.1
200,vostok,0,RU,10/10/2019,48,46.45,135.83,8.26,4.341
201,aykhal,100,RU,10/10/2019,96,65.95,111.51,-13.53,4.993
202,walvis bay,0,NA,10/10/2019,81,-22.95,14.51,12,1
203,port-cartier,5,CA,10/10/2019,80,50.03,-66.88,5.56,1
204,kenai,75,US,10/10/2019,81,60.55,-151.26,8,1.5
205,boffa,100,GN,10/10/2019,88,10.18,-14.04,24.3,1.52
206,tilichiki,100,RU,10/10/2019,84,60.47,166.1,-0.5,4.107
207,katsuura,75,JP,10/10/2019,73,33.93,134.5,26.67,5.7
208,kaka,0,TM,10/10/2019,48,37.35,59.62,15.48,1.852
209,bonnyville,20,CA,10/10/2019,55,54.27,-110.74,2,1.5
210,alugan,33,PH,10/10/2019,68,12.22,125.48,29.39,4.226
211,esperance,98,AU,10/10/2019,68,-33.86,121.89,19,3.1
212,alta gracia,2,AR,10/10/2019,47,-31.66,-64.43,24,4.1
213,kalabo,61,ZM,10/10/2019,67,-15,22.67,20.78,1.584
214,beneditinos,8,BR,10/10/2019,35,-5.46,-42.36,31,1.5
215,saldanha,0,PT,10/10/2019,54,41.42,-6.55,13.61,1.231
216,kununurra,100,AU,10/10/2019,4,-15.77,128.74,36,6.2
217,debe,20,TT,10/10/2019,88,10.21,-61.45,24,3.735
218,chengdu,9,CN,10/10/2019,82,30.68,104.06,25,1.833
219,diu,4,IN,10/10/2019,69,20.71,70.98,28.94,3.715
220,tchibanga,100,GA,10/10/2019,98,-2.92,11,22.44,1.055
221,deputatskiy,100,RU,10/10/2019,92,69.3,139.9,-9.86,0.276
222,teguldet,0,RU,10/10/2019,47,57.31,88.17,-0.83,4.738
223,nauta,77,PE,10/10/2019,97,-4.51,-73.58,22.52,1.123
224,northam,90,AU,10/10/2019,93,-31.65,116.67,18,3.1
225,itarema,65,BR,10/10/2019,79,-2.92,-39.92,25,5.138
226,coahuayana,100,MX,10/10/2019,90,18.62,-100.35,22.94,1.244
227,half moon bay,1,US,10/10/2019,18,37.46,-122.43,25,5.7
228,saint george,20,GR,10/10/2019,93,39.45,22.34,17,0.611
229,hambantota,90,LK,10/10/2019,100,6.12,81.12,24,1
230,ancud,90,CL,10/10/2019,100,-41.87,-73.83,10,4.1
231,sinnamary,0,GF,10/10/2019,80,5.38,-52.96,27.34,8.053
232,kolin,100,PL,10/10/2019,93,53.23,15.12,8.89,3.1
233,oistins,40,BB,10/10/2019,74,13.07,-59.53,28,4.6
234,tongren,99,CN,10/10/2019,81,27.72,109.18,18.57,1.933
235,lagoa,0,PT,10/10/2019,73,37.14,-8.45,21.11,4.1
236,sao borja,0,BR,10/10/2019,67,-28.66,-56,21.58,3.196
237,berdigestyakh,100,RU,10/10/2019,85,62.1,126.7,-6.48,3.885
238,grindavik,75,IS,10/10/2019,81,63.84,-22.43,7,9.3
239,port hardy,75,CA,10/10/2019,76,50.7,-127.42,9,1
240,gat,86,SN,10/10/2019,88,14.69,-16.54,26,3.6
241,maravilha,0,BR,10/10/2019,50,-26.76,-53.17,25,4.1
242,kutum,12,SD,10/10/2019,40,14.2,24.66,25.02,2.63
243,lanzhou,100,CN,10/10/2019,81,36.06,103.82,8,1
244,koslan,99,RU,10/10/2019,97,63.46,48.9,1.34,3.723
245,nchelenge,52,ZM,10/10/2019,63,-9.35,28.74,23.39,1.766
246,zilair,6,RU,10/10/2019,89,52.23,57.44,0.99,1.515
247,loandjili,90,CG,10/10/2019,88,-4.77,11.87,26,4.6
248,puerto ayora,3,EC,10/10/2019,90,-0.74,-90.35,18.89,4.565
249,skibbereen,75,IE,10/10/2019,100,51.55,-9.27,12,7.2
250,pervomayskoye,0,RU,10/10/2019,49,57.07,86.23,-0.58,5.449
251,burns lake,2,CA,10/10/2019,68,54.23,-125.76,-1.07,0.785
252,muros,90,ES,10/10/2019,100,42.77,-9.06,15,1
253,pacifica,75,US,10/10/2019,20,37.61,-122.49,25,7.7
254,grande prairie,75,CA,10/10/2019,55,55.17,-118.79,4,1
255,tra vinh,0,VN,10/10/2019,56,9.93,106.35,31.31,2.284
256,taltal,13,CL,10/10/2019,91,-25.41,-70.49,10.37,0.975
257,teahupoo,20,PF,10/10/2019,61,-17.83,-149.27,28,3.6
258,okha,21,RU,10/10/2019,63,53.59,142.95,8.22,5.27
259,autazes,86,BR,10/10/2019,87,-3.58,-59.13,24.76,0.95
260,papara,20,BR,10/10/2019,74,-3.98,-38.73,27,5.1
261,shaki,33,AM,10/10/2019,82,39.56,46,13,4.1
262,turukhansk,25,RU,10/10/2019,44,65.8,87.96,-1.54,5.523
263,havoysund,75,NO,10/10/2019,93,71,24.66,2,2.814
264,klaksvik,100,FO,10/10/2019,93,62.23,-6.59,9,1.5
265,huainan,88,CN,10/10/2019,62,32.59,117.01,21.34,2.094
266,stromness,5,CA,10/10/2019,76,42.87,-79.55,12.22,4.1
267,ostersund,89,SE,10/10/2019,100,63.18,14.64,2,0.54
268,soria,0,ES,10/10/2019,87,41.76,-2.46,8.33,1.408
269,santa rosa,63,AR,10/10/2019,89,-36.62,-64.29,16.03,3.461
270,sao filipe,18,CV,10/10/2019,81,14.9,-24.5,25.79,1.907
271,biryusinsk,0,RU,10/10/2019,43,55.96,97.82,-1.39,3.313
272,mattoon,90,US,10/10/2019,69,39.48,-88.38,23,4.6
273,harindanga,40,IN,10/10/2019,94,22.04,88.32,24,2.661
274,nome,1,US,10/10/2019,78,30.04,-94.42,27.78,1.5
275,carutapera,85,BR,10/10/2019,79,-1.2,-46.02,26.8,8.555
276,gilbues,34,BR,10/10/2019,30,-9.83,-45.34,26.69,2.85
277,fortuna,15,US,10/10/2019,52,40.6,-124.16,15.56,0.569
278,karabash,0,RU,10/10/2019,90,55.49,60.21,-0.54,1.977
279,honningsvag,93,NO,10/10/2019,74,70.98,25.97,4.79,3.826
